"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2024","169.95","167.55","170.15","167.55","416.89K","1.49%"
"07/10/2024","167.45","168.20","169.60","166.95","592.82K","-0.45%"
"07/09/2024","168.20","168.55","168.85","167.25","324.22K","-0.21%"
"07/08/2024","168.55","166.65","168.90","166.00","235.70K","1.57%"
"07/05/2024","165.95","168.00","169.15","165.40","222.59K","-1.10%"
"07/04/2024","167.80","167.75","169.10","166.95","198.24K","0.03%"
"07/03/2024","167.75","170.00","171.90","166.95","447.15K","-0.83%"
"07/02/2024","169.15","168.55","169.50","167.30","503.86K","0.30%"
"07/01/2024","168.65","168.50","170.00","167.75","482.49K","0.39%"
"06/28/2024","168.00","165.35","169.00","165.00","577.67K","1.82%"
"06/27/2024","165.00","163.00","166.20","162.60","406.70K","1.38%"
"06/26/2024","162.75","165.40","166.30","162.15","511.99K","-1.21%"
"06/25/2024","164.75","164.00","167.35","162.50","769.54K","0.30%"
"06/24/2024","164.25","161.60","164.95","160.80","459.52K","1.26%"
"06/21/2024","162.20","163.00","164.00","161.45","1.28M","-0.52%"
"06/20/2024","163.05","162.25","166.70","161.15","763.54K","0.49%"
"06/19/2024","162.25","158.10","163.20","157.30","650.59K","2.62%"
"06/18/2024","158.10","158.60","162.40","157.65","562.94K","0.06%"
"06/17/2024","158.00","155.75","158.40","154.75","536.84K","1.44%"
"06/14/2024","155.75","154.60","155.75","152.25","675.64K","0.78%"
"06/13/2024","154.55","159.00","161.40","154.50","654.83K","-3.07%"
"06/12/2024","159.45","154.55","159.95","153.85","924.89K","3.64%"
"06/11/2024","153.85","156.00","156.90","153.75","629.57K","-1.03%"
"06/10/2024","155.45","155.00","156.20","153.95","505.23K","0.10%"
"06/07/2024","155.30","159.85","159.95","154.35","723.78K","-2.94%"
"06/06/2024","160.00","158.55","160.60","156.00","778.31K","1.81%"
"06/05/2024","157.15","155.00","158.30","154.55","780.61K","1.72%"
"06/04/2024","154.50","160.00","160.00","153.00","770.79K","-3.38%"
"06/03/2024","159.90","162.70","163.70","158.85","525.62K","-0.06%"
