"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2024","8.35","8.23","8.36","8.17","1.01M","1.68%"
"10/14/2024","8.21","8.29","8.38","8.21","922.31K","-1.70%"
"10/11/2024","8.35","8.42","8.42","8.27","678.26K","0.41%"
"10/10/2024","8.32","8.34","8.43","8.27","554.36K","-0.95%"
"10/09/2024","8.40","8.45","8.46","8.34","959.08K","-0.26%"
"10/08/2024","8.42","8.31","8.45","8.21","1.07M","0.50%"
"10/07/2024","8.38","8.38","8.56","8.30","1.07M","-0.50%"
"10/04/2024","8.42","8.28","8.42","8.25","1.04M","1.76%"
"10/03/2024","8.27","8.35","8.35","8.21","907.64K","-0.46%"
"10/02/2024","8.31","8.39","8.44","8.26","611.32K","-1.31%"
"10/01/2024","8.42","8.55","8.55","8.29","1.26M","-0.35%"
"09/30/2024","8.45","8.60","8.60","8.39","968.20K","-1.26%"
"09/27/2024","8.56","8.64","8.64","8.48","879.53K","-0.70%"
"09/26/2024","8.62","8.64","8.78","8.60","702.09K","-0.21%"
"09/25/2024","8.64","8.66","8.77","8.64","671.44K","-0.42%"
"09/24/2024","8.67","8.73","8.75","8.56","887.00K","0.86%"
"09/23/2024","8.60","8.48","8.76","8.43","778.14K","1.18%"
"09/20/2024","8.50","8.66","8.76","8.50","5.27M","-1.85%"
"09/19/2024","8.66","8.90","8.91","8.66","1.52M","-1.14%"
"09/18/2024","8.76","8.92","8.97","8.72","1.13M","-1.79%"
"09/17/2024","8.92","8.94","9.02","8.89","969.10K","0.45%"
"09/16/2024","8.88","8.80","8.93","8.80","555.83K","-0.11%"
"09/13/2024","8.89","8.70","8.90","8.71","752.18K","1.95%"
"09/12/2024","8.72","8.80","8.87","8.72","715.50K","-0.23%"
"09/11/2024","8.74","8.72","8.82","8.70","803.58K","-0.23%"
"09/10/2024","8.76","8.73","8.82","8.71","847.51K","0.34%"
"09/09/2024","8.73","8.71","8.80","8.68","631.74K","0.11%"
"09/06/2024","8.72","8.70","8.88","8.68","1.25M","-0.80%"
"09/05/2024","8.79","8.70","8.96","8.69","1.88M","0.92%"
"09/04/2024","8.71","8.62","8.78","8.62","1.81M","-0.23%"
"09/03/2024","8.73","8.84","8.85","8.72","825.14K","-1.24%"
"09/02/2024","8.84","8.75","8.86","8.70","1.19M","1.61%"
"08/30/2024","8.70","8.67","8.77","8.60","1.23M","0.35%"
"08/29/2024","8.67","8.61","8.81","8.57","469.09K","0.70%"
"08/28/2024","8.61","8.55","8.88","8.55","1.28M","-0.23%"
"08/27/2024","8.63","8.69","8.69","8.52","945.27K","0.12%"
"08/26/2024","8.62","8.35","8.69","8.33","1.25M","3.11%"
"08/23/2024","8.36","8.32","8.38","8.29","682.83K","0.72%"
"08/22/2024","8.30","8.29","8.38","8.28","668.95K","0.12%"
"08/21/2024","8.29","8.02","8.34","8.02","948.84K","2.85%"
"08/20/2024","8.06","8.22","8.25","8.06","531.74K","-1.95%"
"08/19/2024","8.22","8.16","8.26","8.12","587.35K","0.74%"
"08/16/2024","8.16","8.23","8.23","8.09","661.41K","-0.12%"
"08/14/2024","8.17","8.23","8.23","8.15","715.72K","0.25%"
"08/13/2024","8.15","8.16","8.20","8.12","1.42M","0.00%"
"08/12/2024","8.15","7.98","8.16","7.98","1.32M","1.87%"
"08/09/2024","8.00","8.09","8.10","7.92","713.75K","-0.74%"
"08/08/2024","8.06","7.97","8.09","7.96","1.75M","0.88%"
"08/07/2024","7.99","8.04","8.04","7.91","1.24M","0.38%"
"08/06/2024","7.96","7.85","7.96","7.76","2.81M","1.14%"
"08/05/2024","7.87","7.83","7.92","7.70","1.88M","-2.24%"
"08/02/2024","8.05","7.78","8.06","7.71","1.31M","2.68%"
"08/01/2024","7.84","7.95","7.97","7.84","1.21M","-1.26%"
"07/31/2024","7.94","7.88","7.96","7.85","1.08M","1.28%"
"07/30/2024","7.84","7.79","8.00","7.79","1.21M","0.38%"
"07/29/2024","7.81","7.94","7.94","7.78","600.86K","-0.38%"
"07/26/2024","7.84","7.83","7.94","7.77","775.98K","0.51%"
"07/25/2024","7.80","7.74","7.87","7.60","1.09M","1.17%"
"07/24/2024","7.71","7.68","7.76","7.55","1.91M","0.00%"
"07/23/2024","7.71","7.91","7.91","7.68","755.02K","-1.91%"
"07/22/2024","7.86","7.84","7.93","7.81","469.55K","0.64%"
"07/19/2024","7.81","7.85","7.93","7.79","715.37K","-0.26%"
"07/18/2024","7.83","7.65","7.87","7.62","3.09M","1.56%"
"07/17/2024","7.71","7.78","7.80","7.60","1.11M","-0.90%"
"07/16/2024","7.78","7.96","7.96","7.75","999.53K","-1.77%"
"07/15/2024","7.92","8.03","8.04","7.85","1.04M","-1.37%"
"07/12/2024","8.03","7.91","8.07","7.90","1.37M","1.26%"
"07/11/2024","7.93","7.87","7.97","7.83","1.81M","1.41%"
"07/10/2024","7.82","7.86","7.87","7.80","573.74K","-0.64%"
"07/09/2024","7.87","7.93","7.98","7.83","1.39M","-0.63%"
"07/08/2024","7.92","7.97","8.00","7.85","1.33M","-0.63%"
"07/05/2024","7.97","7.95","8.04","7.92","773.19K","0.25%"
"07/04/2024","7.95","7.91","8.05","7.91","560.82K","0.25%"
"07/03/2024","7.93","7.98","8.09","7.91","738.43K","0.13%"
"07/02/2024","7.92","8.09","8.09","7.89","1.06M","-2.22%"
"07/01/2024","8.10","7.86","8.10","7.83","2.48M","4.11%"
"06/28/2024","7.78","7.74","7.84","7.74","1.13M","0.26%"
"06/27/2024","7.76","7.89","7.99","7.73","1.37M","-1.77%"
"06/26/2024","7.90","7.80","7.92","7.70","8.61M","3.27%"
"06/25/2024","7.65","7.83","7.96","7.63","2.05M","-7.94%"
"06/24/2024","8.31","8.20","8.33","8.13","1.18M","1.59%"
"06/21/2024","8.18","8.05","8.26","8.05","3.22M","1.61%"
"06/20/2024","8.05","8.10","8.16","8.02","1.72M","-0.12%"
"06/19/2024","8.06","8.00","8.09","7.99","540.50K","1.00%"
"06/18/2024","7.98","8.13","8.20","7.95","699.21K","-1.60%"
"06/17/2024","8.11","8.03","8.16","8.01","879.30K","1.37%"
"06/14/2024","8.00","7.90","8.02","7.84","1.05M","1.01%"
"06/13/2024","7.92","8.15","8.15","7.87","602.88K","-2.46%"
"06/12/2024","8.12","7.93","8.14","7.80","859.26K","2.27%"
"06/11/2024","7.94","8.10","8.10","7.90","607.79K","-1.37%"
"06/10/2024","8.05","8.19","8.19","7.97","711.08K","-1.71%"
"06/07/2024","8.19","8.32","8.32","8.10","569.49K","-1.21%"
"06/06/2024","8.29","8.37","8.37","8.24","433.65K","0.12%"
"06/05/2024","8.28","8.33","8.35","8.24","418.91K","0.12%"
"06/04/2024","8.27","8.34","8.35","8.20","699.79K","-0.48%"
"06/03/2024","8.31","8.24","8.39","8.24","770.68K","1.34%"
