"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2024","50.72","49.64","50.80","48.50","4.40M","1.77%"
"08/07/2024","49.84","50.84","50.98","49.74","3.17M","-5.39%"
"08/06/2024","52.68","54.46","54.64","51.82","3.03M","-2.55%"
"08/05/2024","54.06","54.26","54.44","52.96","3.49M","-3.26%"
"08/02/2024","55.88","57.34","57.38","55.28","3.23M","-3.59%"
"08/01/2024","57.96","59.44","59.54","57.62","2.22M","-1.70%"
"07/31/2024","58.96","58.98","59.54","58.58","2.11M","0.96%"
"07/30/2024","58.40","59.52","59.78","58.26","1.47M","-1.62%"
"07/29/2024","59.36","59.36","60.16","58.96","1.35M","0.37%"
"07/26/2024","59.14","59.02","59.88","58.80","903.32K","-0.10%"
"07/25/2024","59.20","58.44","59.28","58.24","1.57M","-0.13%"
"07/24/2024","59.28","58.80","60.02","58.68","1.44M","-0.20%"
"07/23/2024","59.40","60.52","60.68","58.94","1.23M","-2.30%"
"07/22/2024","60.80","60.50","61.04","60.14","1.92M","1.06%"
"07/19/2024","60.16","61.00","61.10","59.02","2.68M","-1.38%"
"07/18/2024","61.00","59.74","61.06","59.12","3.32M","3.60%"
"07/17/2024","58.88","59.62","60.28","58.16","2.07M","-1.34%"
"07/16/2024","59.68","60.82","61.24","59.64","2.84M","-2.45%"
"07/15/2024","61.18","61.02","61.50","60.58","1.67M","-0.16%"
"07/12/2024","61.28","61.48","61.48","60.92","1.75M","-0.13%"
"07/11/2024","61.36","61.54","61.92","61.06","2.18M","-0.10%"
"07/10/2024","61.42","61.70","62.12","61.24","125.00K","-0.45%"
"07/09/2024","61.70","61.70","62.08","61.20","2.42M","0.39%"
"07/08/2024","61.46","60.92","61.80","60.72","907.25K","0.69%"
"07/05/2024","61.04","62.00","62.04","60.92","1.00M","-1.33%"
"07/04/2024","61.86","62.30","62.30","61.44","1.21M","0.26%"
"07/03/2024","61.70","62.28","62.80","61.52","1.71M","-0.23%"
"07/02/2024","61.84","62.40","62.50","61.42","1.14M","-1.18%"
"07/01/2024","62.58","62.92","63.54","62.44","1.17M","-0.54%"
"06/28/2024","62.92","62.56","63.44","62.38","4.46M","0.45%"
"06/27/2024","62.64","62.48","62.80","62.12","1.92M","0.61%"
"06/26/2024","62.26","62.60","62.88","61.98","1.80M","-0.42%"
"06/25/2024","62.52","61.46","62.86","61.10","3.33M","1.69%"
"06/24/2024","61.48","60.60","61.78","60.06","1.32M","1.45%"
"06/21/2024","60.60","61.36","61.80","60.32","4.11M","-1.14%"
"06/20/2024","61.30","61.00","62.30","60.68","2.16M","1.32%"
"06/19/2024","60.50","59.20","60.92","58.40","2.60M","2.13%"
"06/18/2024","59.24","58.94","60.46","58.90","3.57M","1.13%"
"06/17/2024","58.58","57.38","58.68","56.96","2.41M","2.23%"
"06/14/2024","57.30","56.70","57.40","56.68","5.38M","1.09%"
"06/13/2024","56.68","57.10","57.50","56.58","1.92M","-1.15%"
"06/12/2024","57.34","56.36","57.94","56.30","2.15M","2.06%"
"06/11/2024","56.18","56.70","57.18","55.78","1.75M","-0.64%"
"06/10/2024","56.54","56.94","56.94","55.98","1.35M","-0.70%"
"06/07/2024","56.94","57.90","57.92","56.36","1.63M","-1.35%"
"06/06/2024","57.72","57.42","57.92","57.00","1.49M","1.23%"
"06/05/2024","57.02","56.40","57.30","56.22","1.70M","1.50%"
"06/04/2024","56.18","59.20","59.20","55.88","2.96M","-4.78%"
"06/03/2024","59.00","59.98","60.28","58.92","1.54M","-0.61%"
