"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2024","617.60","608.00","617.60","601.60","15.30K","0.65%"
"10/15/2024","613.60","615.40","620.00","612.00","12.03K","0.23%"
"10/14/2024","612.20","615.40","621.60","611.40","12.50K","0.16%"
"10/11/2024","611.20","601.60","616.80","595.20","18.74K","1.60%"
"10/10/2024","601.60","600.00","609.60","591.40","51.78K","0.07%"
"10/09/2024","601.20","589.60","607.00","579.80","26.27K","2.11%"
"10/08/2024","588.80","570.60","600.00","567.60","35.24K","1.59%"
"10/07/2024","579.60","587.20","591.80","568.80","21.87K","-0.72%"
"10/04/2024","583.80","590.00","593.60","580.20","15.47K","-1.05%"
"10/03/2024","590.00","602.00","608.00","585.80","19.64K","-2.29%"
"10/02/2024","603.80","606.00","618.80","602.00","11.39K","-0.30%"
"10/01/2024","605.60","617.40","619.20","601.20","24.12K","-1.91%"
"09/30/2024","617.40","631.00","631.60","617.40","25.85K","-2.25%"
"09/27/2024","631.60","637.00","637.60","623.00","11.69K","-0.88%"
"09/26/2024","637.20","624.20","641.40","624.20","32.76K","2.12%"
"09/25/2024","624.00","634.40","636.40","622.00","23.32K","-1.64%"
"09/24/2024","634.40","628.00","635.40","624.80","46.31K","1.34%"
"09/23/2024","626.00","657.00","670.00","621.40","45.55K","-4.72%"
"09/20/2024","657.00","677.00","678.20","653.40","299.15K","-0.90%"
"09/19/2024","663.00","677.20","682.80","657.60","39.13K","-0.93%"
"09/18/2024","669.20","662.40","677.20","658.40","32.16K","1.89%"
"09/17/2024","656.80","644.80","665.00","643.20","24.47K","3.53%"
"09/16/2024","634.40","640.00","645.20","626.80","30.52K","-0.69%"
"09/13/2024","638.80","626.20","643.00","624.20","31.25K","2.73%"
"09/12/2024","621.80","611.00","626.20","599.40","21.78K","4.64%"
"09/11/2024","594.20","615.00","622.40","591.40","20.45K","-3.04%"
"09/10/2024","612.80","632.20","635.80","612.20","13.71K","-1.76%"
"09/09/2024","623.80","621.20","631.80","620.20","13.82K","3.11%"
"09/06/2024","605.00","633.40","638.60","605.00","25.53K","-4.30%"
"09/05/2024","632.20","635.60","648.00","626.40","18.13K","-0.53%"
"09/04/2024","635.60","633.40","642.20","626.40","10.60K","-0.38%"
"09/03/2024","638.00","660.00","660.80","635.80","17.13K","-3.04%"
"09/02/2024","658.00","635.00","666.00","629.00","17.61K","2.81%"
"08/30/2024","640.00","640.00","643.60","634.60","52.45K","0.95%"
"08/29/2024","634.00","626.00","642.60","625.80","19.13K","1.02%"
"08/28/2024","627.60","620.00","632.00","620.00","13.54K","1.26%"
"08/27/2024","619.80","631.40","636.80","611.80","12.42K","-1.84%"
"08/26/2024","631.40","625.00","634.60","621.80","13.27K","0.83%"
"08/23/2024","626.20","620.00","632.40","620.00","10.02K","1.52%"
"08/22/2024","616.80","620.80","622.60","615.20","13.52K","-0.10%"
"08/21/2024","617.40","615.20","619.00","615.00","11.08K","0.29%"
"08/20/2024","615.60","628.40","632.00","615.60","13.48K","-2.07%"
